price,latitude,longitude,num_bathrooms,num_bedrooms,num_floors,property_type,tenure
95000,53.809254,-1.624872,1,2,0,flat,leasehold
151500,53.817154,-1.644844,1,2,0,terraced house,freehold
83000,53.79861,-1.632588,1,1,0,flat,leasehold
81000,53.805325,-1.625123,1,2,0,flat,leasehold
290000,53.802044,-1.540957,2,2,0,flat,leasehold
90950,53.798126,-1.550747,1,0,0,studio,leasehold
84950,53.802044,-1.540957,1,1,0,flat,leasehold
80950,53.798126,-1.550747,1,0,0,studio,leasehold
80000,53.798126,-1.550747,1,0,0,studio,leasehold
174950,53.80457,-1.539285,2,2,0,flat,leasehold
180000,53.8074,-1.544634,1,2,0,semi-detached house,freehold
290000,53.802044,-1.540957,2,2,0,flat,leasehold
84950,53.802044,-1.540957,1,1,0,flat,leasehold
42500,53.802498,-1.533573,0,1,0,flat,leasehold
174950,53.80457,-1.539285,2,2,0,flat,leasehold
180000,53.8074,-1.544634,1,2,0,semi-detached house,freehold
125000,53.8056,-1.53618,1,3,0,terraced house,freehold
290000,53.802044,-1.540957,2,2,0,flat,leasehold
84950,53.802044,-1.540957,1,1,0,flat,leasehold
220000,53.7932,-1.535836,2,2,0,flat,leasehold
175000,53.843536,-1.53333,1,3,0,flat,leasehold
110000,53.836643,-1.525579,1,2,0,semi-detached house,freehold
315000,53.84737,-1.523154,1,3,0,semi-detached house,freehold
330000,53.84296,-1.52561,1,3,0,semi-detached house,freehold
225000,53.837032,-1.527527,1,3,0,terraced house,freehold
675000,53.841236,-1.529075,2,4,0,detached house,freehold
325000,53.84029,-1.53268,1,3,0,semi-detached house,freehold
185000,53.846138,-1.536534,1,2,0,flat,leasehold
222500,53.836063,-1.530257,1,3,0,semi-detached house,freehold
290000,53.84265,-1.52145,1,3,0,semi-detached house,freehold
267500,53.842896,-1.536102,1,3,0,semi-detached house,freehold
225000,53.84547,-1.536581,1,2,0,flat,leasehold
120000,53.8366,-1.526994,1,2,0,semi-detached house,freehold
270000,53.84041,-1.532757,1,3,0,semi-detached house,freehold
165000,53.84417,-1.538566,2,2,0,flat,leasehold
90950,53.798126,-1.550747,1,0,0,studio,leasehold
220000,53.7932,-1.535836,2,2,0,flat,leasehold
80950,53.798126,-1.550747,1,0,0,studio,leasehold
80000,53.798126,-1.550747,1,0,0,studio,leasehold
300000,51.484474,-3.199092,1,3,0,terraced house,freehold
189000,51.480274,-3.2191,1,2,0,end terrace house,freehold
155000,51.48,-3.18,0,2,0,flat,leasehold
110500,51.477135,-3.173195,1,1,0,flat,leasehold
115000,51.480553,-3.164306,1,1,0,flat,share_of_freehold
225000,51.48088,-3.179931,1,2,0,flat,leasehold
80000,51.48011,-3.182503,1,1,0,flat,leasehold
132250,51.47738,-3.172534,1,1,0,flat,leasehold
165000,51.479874,-3.181964,1,2,0,flat,leasehold
